"","x"
"X20aa07010",0.00945340999481178
"X6d2ece683",0.0237446931667092
"X26fc93eb7",0.00812260989685946
"X6eef030c1",0.0228072195059816
"d4c1de0e2",0.00110933793305744
"X5bc7ab64f",0.0456285448115296
"X58e2e02e6",0.0487129541509688
"X9fd594eec",0.0558040952300662
"ba4ceabc5",0.0216931318377631
"eeb9cd3aa",0.0205372788811948
"X96b6bd42b",0.0218193887664452
"X58232a6fb",0.00546182874605049
"f190486d6",0.0560376251659468
"f74e8f13d",0.0191743489799383
"X9d5c7cb94",0.00239317052156934
"X1702b5bf0",0.0160680123682873
"f1851d155",0.00825510175948143
"X555f18bd3",0.107463735412086
"ddea5dc65",0.0177553173914753
